site,wy,peak_cfs,oni_raw,oni_z
03453500,1951,19000.0,0.27999999999999997,0.29313664702481607
03453500,1952,22400.0,0.18,0.19059351023908283
03453500,1953,22800.0,0.01999999999999999,0.02652449138190965
03453500,1954,23200.0,0.13999999999999999,0.14957625552478954
03453500,1955,9760.0,-0.7,-0.7117860934753696
03453500,1956,13800.0,-0.9199999999999999,-0.9373809944039827
03453500,1957,33100.0,-0.12,-0.11703590011811688
03453500,1958,12100.0,1.02,1.0519558592392422
03453500,1959,18000.0,-0.1,-0.09652727276097023
03453500,1960,13200.0,0.04,0.04703311873905631
03453500,1961,22400.0,-0.04000000000000001,-0.03500139068953029
03453500,1962,25600.0,0.21999999999999997,0.2316107649533761
03453500,1963,37800.0,-0.32,-0.32212217368958335
03453500,1964,19400.0,0.5800000000000001,0.6007660573820158
03453500,1965,40400.0,-0.6,-0.6092429566896364
03453500,1966,27100.0,1.4600000000000002,1.5031456610964684
03453500,1967,19600.0,-0.36,-0.3631394284038766
03453500,1968,25000.0,-0.6200000000000001,-0.6297515840467831
03453500,1969,12300.0,0.9800000000000001,1.0109386045249489
03453500,1970,9180.0,0.64,0.6622919394534558
03453500,1971,7470.0,-1.1800000000000002,-1.2039931500468892
03453500,1972,22600.0,-0.56,-0.5682257019753432
03453500,1973,37600.0,1.5799999999999998,1.626197425239348
03453500,1974,26000.0,-1.6400000000000001,-1.675691579261262
03453500,1975,32900.0,-0.48,-0.48619119254675647
03453500,1976,24700.0,-1.48,-1.511622560404089
03453500,1977,37600.0,0.6599999999999999,0.6828005668106023
03453500,1978,54000.0,0.56,0.5802574300248692
03453500,1979,21500.0,-0.16,-0.15805315483241017
03453500,1980,27600.0,0.52,0.5392401753105759
03453500,1981,7140.0,-0.32,-0.32212217368958335
03453500,1982,23200.0,0.18,0.19059351023908283
03453500,1983,17700.0,2.2600000000000002,2.323490755382334
03453500,1984,23500.0,-0.96,-0.978398249118276
03453500,1985,9430.0,-0.48,-0.48619119254675647
03453500,1986,7040.0,0.13999999999999999,0.14957625552478954
03453500,1987,20700.0,1.42,1.462128406382175
03453500,1988,8610.0,1.0,1.0314472318820953
03453500,1989,12100.0,-1.4200000000000002,-1.450096678332649
03453500,1990,32400.0,-0.54,-0.5477170746181965
03453500,1991,26200.0,-0.20000000000000004,-0.1990704095467035
03453500,1992,14200.0,1.64,1.687723307310788
03453500,1993,17500.0,-0.74,-0.7528033481896629
03453500,1994,32000.0,0.1,0.10855900081049626
03453500,1995,37000.0,0.9,0.9289040950963622
03453500,1996,34000.0,-1.3000000000000003,-1.3270449141897693
03453500,1997,14100.0,-0.36,-0.3631394284038766
03453500,1998,32500.0,2.08,2.1389131091680142
03453500,1999,7480.0,-1.6400000000000001,-1.675691579261262
03453500,2000,12200.0,-1.44,-1.4706053056897954
03453500,2001,6830.0,-0.58,-0.5887343293324897
03453500,2002,6620.0,-0.2,-0.19907040954670346
03453500,2003,23700.0,1.08,1.1134817413106821
03453500,2004,48000.0,0.34,0.35466252909625606
03453500,2005,12900.0,0.5599999999999999,0.5802574300248691
03453500,2006,10200.0,-0.72,-0.7322947208325162
03453500,2007,14500.0,0.86,0.8878868403820689
03453500,2008,9240.0,-1.46,-1.4911139330469423
03453500,2009,16700.0,-0.6799999999999999,-0.6912774661182229
03453500,2010,21400.0,1.56,1.6056887978822016
03453500,2011,15300.0,-1.52,-1.5526398151183822
03453500,2012,11300.0,-0.8800000000000001,-0.8963637396896895
03453500,2013,26300.0,0.12000000000000002,0.12906762816764292
03453500,2014,19300.0,-0.36,-0.3631394284038766
03453500,2015,10300.0,0.7200000000000001,0.7443264488820425
03453500,2016,21200.0,2.3400000000000003,2.4055252648109207
03453500,2017,11500.0,-0.9400000000000001,-0.9578896217611295
03453500,2018,21200.0,-0.68,-0.691277466118223
03453500,2019,39500.0,0.44000000000000006,0.45720566588198935
03453500,2020,30700.0,-0.43999999999999995,-0.4451739378324632
03453500,2021,39800.0,1.1199999999999999,1.1544989960249752
03453500,2022,22400.0,-0.96,-0.978398249118276
03453500,2023,8800.0,-0.54,-0.5477170746181965
03453500,2024,119000.0,1.6599999999999997,1.7082319346679344
03453500,2025,13600.0,-1.1999999999999997,-1.2245017774040354
